hypothesis_id,yaml_path,strategy_name,strategy_file,status,has_decision_trace,has_state_snapshot,has_reason_code,has_setup_class,has_conditions_bool_map,has_blockers_bool_map,has_gate_margins,has_parameter_trace,has_signal_metadata,supports_enriched_state_snapshot,has_funding_state_fields,has_oi_state_fields,has_basis_state_fields,has_csi_source_field,preserves_signal_metadata,expected_structural_bucket_fields,expected_enriched_state_fields,enriched_state_missing_requirements,missing_requirements,notes
L1-H7A,research/hypotheses/l1_h7a_squeeze_expansion_pullback.yaml,l1_h7_squeeze_expansion_pullback,src/bt/strategy/l1_h7_squeeze_expansion_pullback.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H7B,research/hypotheses/l1_h7b_squeeze_expansion_pullback_timeframe.yaml,l1_h7_squeeze_expansion_pullback,src/bt/strategy/l1_h7_squeeze_expansion_pullback.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H7C,research/hypotheses/l1_h7c_high_selectivity_regime.yaml,l1_h7_squeeze_expansion_pullback,src/bt/strategy/l1_h7_squeeze_expansion_pullback.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H7D,research/hypotheses/l1_h7d_adaptive_runner.yaml,l1_h7_squeeze_expansion_pullback,src/bt/strategy/l1_h7_squeeze_expansion_pullback.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H7E,research/hypotheses/l1_h7e_flow_sensitive_runner.yaml,l1_h7_squeeze_expansion_pullback,src/bt/strategy/l1_h7_squeeze_expansion_pullback.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H7F,research/hypotheses/l1_h7f_flow_gated_entry.yaml,l1_h7_squeeze_expansion_pullback,src/bt/strategy/l1_h7_squeeze_expansion_pullback.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H8A,research/hypotheses/l1_h8a.yaml,l1_h8_trend_continuation_pullback,src/bt/strategy/l1_h8_trend_continuation_pullback.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H8B,research/hypotheses/l1_h8b.yaml,l1_h8_trend_continuation_pullback,src/bt/strategy/l1_h8_trend_continuation_pullback.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H8C,research/hypotheses/l1_h8c.yaml,l1_h8_trend_continuation_pullback,src/bt/strategy/l1_h8_trend_continuation_pullback.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H8D,research/hypotheses/l1_h8d.yaml,l1_h8_trend_continuation_pullback,src/bt/strategy/l1_h8_trend_continuation_pullback.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H8E,research/hypotheses/l1_h8e.yaml,l1_h8_trend_continuation_pullback,src/bt/strategy/l1_h8_trend_continuation_pullback.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H9A,research/hypotheses/l1_h9a_momentum_breakout.yaml,l1_h9_momentum_breakout,src/bt/strategy/l1_h9_momentum_breakout.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H9B,research/hypotheses/l1_h9b_breakout_partial_runner.yaml,l1_h9_momentum_breakout,src/bt/strategy/l1_h9_momentum_breakout.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L2-H1,research/hypotheses/l2_h1_htf_trend_filter_pullback.yaml,l2_h1_htf_trend_filter_pullback,src/bt/strategy/l2_h1_htf_trend_filter_pullback.py,compliant,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L2-H2,research/hypotheses/l2_h2_entry_timeframe_boundary_gate.yaml,l1_h1_vol_floor_trend,src/bt/strategy/l1_h1_vol_floor_trend.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L2-H3,research/hypotheses/l2_h3_reference_price_reversion.yaml,l2_h3_reference_price_reversion,src/bt/strategy/l2_h3_reference_price_reversion.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L2-H4,research/hypotheses/l2_h4_prior_day_extreme_traps.yaml,l2_h4_prior_day_extreme_traps,src/bt/strategy/l2_h4_prior_day_extreme_traps.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L2-H5,research/hypotheses/l2_h5_htf_trend_funding_stress.yaml,l2_h5_htf_trend_funding_stress,src/bt/strategy/l2_h5_htf_trend_funding_stress.py,compliant,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L7-H1,research/hypotheses/l7_h1_csi_gated_displacement_trend.yaml,l7_h1_csi_gated_displacement_trend,src/bt/strategy/l7_h1_csi_gated_displacement_trend.py,compliant,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
SAMPLE-PIPELINE-SMOKE,research/hypotheses/sample_pipeline_smoke.yaml,volfloor_ema_pullback,src/bt/strategy/volfloor_ema_pullback.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
